; AutoGen 1.5 recognition database recovered from DirectAccess 5.19
; primary|support file 1|support file 2|program|category|company
TWIN.EXE|PRINTER.DEF|MOSAIC.BAT|Twin Classic|Integrated|Mosaic Software, Inc.
TYPERITE.EXE|||Typerite|Applications|Selfware
V2MM.EXE|||Typesetters Connection:|Desktop Publish|Core International
TT.COM|||Typing Tutor|Education|IBM
ULTIMA.EXE|BRITISH.BIT|RUNES.CH|Ultima V|Games|Origin Systems, Inc
UNIFORTH.COM|||Uniforth|Programming|Unified Software Systems
VCR.EXE|VCR.DAT|VCRTOOL.DAT|VCR Companion|Applications|Broderbond Software, Inc.
VEDIT.EXE|VPCONFIG.EXE||VEDIT|Word Processing|Compuview Products, Inc.
VP.BAT|VP.XCD||Ventura Publisher|Desktop Publish|Xerox Corp.
VPPROF.BAT|||Ventura Publisher Prof.|Desktop Publish|Xerox Corp.
VL.EXE|VL.OVL|VL.DAT|View-Link|Utilities|Traveling Software, Inc.
VP.EXE|HELP||Viewpoint|Project Mgmt|Computer Aided Management
VW.EXE|||Volkswriter|Word Processing|Lifetree Software, Inc.
VW3.EXE|||Volkswriter 3|Word Processing|Lifetree Software, Inc.
VW4.EXE|VW4.SYS||Volkswriter 4|Word Processing|Lifetree Software, Inc.
VPG.EXE|||VP Graphics|Databases|Paperback Software Int'l.
VP.COM|VP.XCD||VP Planner|Spreadsheets|Paperback Software Int'l.
VPP.COM|VPP.XCD||VP Planner Plus|Spreadsheets|Paperback Software Int'l.
RAIDER.EXE|||Wall Street Raider|Games|Smith Micro Software
WWP.COM|||Webster's NewWorld|Word Processing|Simon & Schuster Software
WTH.COM|||Webster's On-line|Word Processing|Simon & Schuster Software
WSP.COM|||Webster's Spelling|Word Processing|Simon & Schuster Software
MENU.EXE|GIRL.DAT|WHEELS.DAT|Wheel of Fortune|Games|Share Data
WWW.BAT|W.EXE||Who, What, When|Project Mgmt|Chronos Software
CALENDAR.EXE|||Windows Calendar|Windows Apps|Microsoft
CARDFILE.EXE|||Windows Cardfile|Windows Apps|Microsoft
NOTEPAD.EXE|||Windows Notepad|Windows Apps|Microsoft
WIND.EXE|SHADOW.TLB|WINDWALK.DEF|Windwalker|Games|Origin Systems, Inc
WISHBRIN.COM|WISHBRIN.DAT||Wishbringer|Games|Infocom, Inc.
WAPF.EXE|||Word Attack Plus French|Education|Davidson And Associates, Inc.
WAP.EXE|||Word Attack! Plus|Education|Davidson And Associates, Inc.
WFW.EXE|||Word For Word|Word Processing|Mastersoft, Inc.
MAGIC.EXE|PRINTER.TBL|FILSPLIT.COM|Word Magic|Word Processing|Disk Count Software, Inc.
WB.EXE|WB.OVR|OUTLINE.OVR|Wordbench|Word Processing|Addison Wesley Publishing
WP.EXE|WPHELP.FIL||Wordperfect|Word Processing|Wordperfect Corp.
WP.EXE|PTR.EXE|WPINFO.EXE|Wordperfect 5.1|Word Processing|Wordperfect Corp.
SHELL.COM|SS.EXE||Wordperfect Executive|Integrated|Wordperfect Corp.
WAF.EXE|WAF.CNF|WAF.HLP|Words & Figures|Spreadsheets|Lifetree Software, Inc.
WS.EXE|WSMSGS.OVR||Wordstar|Word Processing|Micropro International Corp.
WS2.EXE|WS2.CFG||Wordstar 2000|Word Processing|Micropro International Corp.
GOLF.EXE|LDRBRD.HUF||World Class Leader|Games|Access Software, Inc.
GOLF.EXE|BM.DAT|PLAYERS.DAT|World Tour Golf|Games|Electronic Arts
WR.EXE|RABFONT|STORIES.IND|Writer Rabbit|Education|Learning Co. (the)
CPC.EXE|CPCFONTS.DAT|CPCHELP.DAT|Writing Publish Center|Education|Learning Co. (the)
FORMBASE.EXE|||Xerox FormBase|Windows Apps|Xerox Corp.
XG.EXE|||Xerox Graph|Windows Apps|Xerox Corp.
XP.EXE|||Xerox Presents|Windows Apps|Xerox Corp.
XTREE.EXE|XTREEINS.DAT||Xtree|Utilities|Executive Systems, Inc.
XTGOLD.COM|||Xtree Gold|Utilities|Executive Systems, Inc.
XTNET.COM|XTNET.X01|XTNET.X02|Xtree Net|Utilities|Executive Systems, Inc.
XTPRO.COM|XTPRO.X01|XTPRO.X02|Xtree Pro|Utilities|Executive Systems, Inc.
EDITOR.EXE|CHKSTACK.COM|CONFIG.INT|XyWrite III Plus|Word Processing|Xyquest, Inc.
ZR.EXE|||Zoomracks II|Databases|Quickview Systems
ZYS.BAT|ZYSEARCH.EXE||ZyIndex Professional|Utilities|ZyLAB Corp.
