; AutoGen 1.5 recognition database recovered from DirectAccess 5.19
; primary|support file 1|support file 2|program|category|company
HOME.EXE|RECORDS.INV|HOME.DOC|Home Inventory|Applications|Byte Size
HOMETOWN.EXE|BAKERY.ART|BANK1.ART|Hometown, U.S.A.|Education|Publishing International
VKETTE.COM|||Hot Rod Disk - Mace|Utilities|Paul Mace Software
HACODE.EXE|||Hyperaccess|Communications|Hilgraeve, Inc.
DRAWASST.EXE|||IBM Drawing Assistant|Graphics|IBM
T189.BAT|T189.IFX|INFO89.PRM|IFX89|Applications|Informatrix Group
IMAGE.EXE|||Image Builder|Graphics|Tridos Software Publishers
IMAGINE.EXE|||Imagine This|Desktop Publish|Software Machine (the)
ACS-PERS.EXE|||In-Control|Databases|Projectronix
INDEX.EXE|||Index|Word Processing|Digital Marketing Corp.
ND.EXE|PY.EXE||Indian Ridge Accounting|Applications|Indian Ridge Enterprises, Inc.
AR.EXE|PY.EXE||Indian Ridge AR Module|Applications|Indian Ridge Enterprises, Inc.
GL.EXE|IY.EXE||Indian Ridge General|Applications|Indian Ridge Enterprises, Inc.
IY.EXE|PY.EXE||Indian Ridge Inventory|Applications|Indian Ridge Enterprises, Inc.
OE.EXE|PY.EXE||Indian Ridge Order|Applications|Indian Ridge Enterprises, Inc.
AP.EXE|ND.EXE||Indian Ridge Payables|Applications|Indian Ridge Enterprises, Inc.
PY.EXE|GL.EXE||Indian Ridge Payroll|Applications|Indian Ridge Enterprises, Inc.
INPAC.EXE|SYSINFO.MEM|RPTOPTS.MEM|Inpac Profit Power Tool|Applications|Tak Technologies, Inc.
REPLAY.COM|||Instant Replay|Utilities|Nostradamus, Inc.
IP.EXE|IDISC.OVL||Instaplan|Project Mgmt|Instaplan Corp.
I7.EXE|||Integrated 7+|Integrated|Mosaic Software, Inc.
IZE.EXE|IZE.GDN|IZE.SCR|Ize|Databases|Persoft, Inc.
JAV.EXE|||Javelin|Spreadsheets|Javelin Software Corp.
JAV.EXE|JAV0.OVL||Javelin PLUS|Applications|Information Resource, Inc.
MENU.EXE|JI.JPQ|J2.JPQ|Jeopordy|Games|Share Data
JET.EXE|||Jet|Games|Sublogic Corp.
JF.EXE|DATA.EXE||Jet Fighter|Games|Velocity Development
JIGSAW.EXE|JIGSAW.OVL|JIGSAW.LAT|Jigsaw!|Games|Britannica Software
MFB.EXE|TALK.BIN|GRAPHICS.CGA|John Madden Football|Games|Electronic Arts
JOSHUA.BAT|JOSHUA.EXE||Joshua's Reading Mach.|Education|Compu-Teach, Inc.
KEDIT.EXE|KEDIT.HLP||K EDIT|Word Processing|Mansfield Software Group, Inc.
KERMIT.EXE|MSKERMIT.INI||Kermit|Communications|Columbia University
KERNFAST.EXE|||Kernfastic|Desktop Publish|Computer Group (the)
KC.BAT|CHART.EXE||Keychart|Graphics|Softkey Software Products, Inc
MAILER.EXE|||Keymailer|Applications|Softkey Software Products, Inc
KP.BAT|KP.HLP||Knowledgepro|Word Processing|Knowledge Garden, Inc.
LABELS.EXE|LABELS.OVL||Labels Unlimited|Graphics|Power Up Software Corp.
LACRAM.EXE|LACRAM.CFG||LACRAM Link|Utilities|Final Solution Corp.
LL.EXE|DD.EXE|DD.BIN|Laplink|Communications|Traveling Software, Inc.
LL3|||Laplink III|Utilities|Traveling Software
LC.COM|||Lattice C V 2.15|Programming|Lattice, Inc.
LC.EXE|||Lattice C V 3.xx|Programming|Lattice, Inc.
LS2.EXE|||Lawsearch Plus Expert|Communications|Direct Aid
LEATHER.EXE|LEATHER.DAT||Leather Goddesses|Games|Infocom, Inc.
DGOTHIC.BAT|||Letter Gothic|Word Processing|Bitstream, Inc.
L&D.EXE|DIAG.VCE|SCR.VCE|Life & Death|Games|Software Toolworks, Inc.
L&D.EXE|SURGERY1.L&D|SURGERY2.L&D|Life & Death|Games|Software Toolworks, Inc.
WW.COM|||Lightning Word Wizard|Word Processing|Borland
GOLF|||Links|Games|Cybron
AMORTIZE.EXE|||Loan Amortization|Applications|Realty Software Co.
LCSETUP.EXE|POPLC.EXE||Logical Connection|Utilities|Fifth Generation Systems, Inc.
LCPSETUP.EXE|LCP.EXE||Logical Connection Plus|Utilities|Fifth Generation Systems, Inc.
PSHOW.EXE|||Logitech Paintshow|Graphics|Logitech
123.COM|123.CMP||Lotus 1-2-3|Spreadsheets|Lotus Development Corp.
123.EXE|123.CMP||Lotus 1-2-3|Spreadsheets|Lotus Development Corp.
123.EXE|123DOS.EXE||Lotus 1-2-3 Rel. 3|Spreadsheets|Lotus Development Corp.
AGENDA.EXE|AGENDA.RI||Lotus Agenda|Project Mgmt|Lotus Development Corp.
FL.COM|FLACESS.EXE||Lotus Freelance|Graphics|Lotus Development Corp.
FL.COM|FL.MNU||Lotus Freelance Plus|Graphics|Lotus Development Corp.
GW.COM|GCISD.EXE||Lotus Graphwriter II|Graphics|Lotus Development Corp.
